'Elapsed time','ECG1'
'seconds','mV'
0.000,0.125
0.008,0.005
0.016,0.025
0.023,0.065
0.031,-0.085
0.039,0.005
0.047,-0.065
0.055,-0.015
0.062,-0.035
0.070,-0.035
0.078,0.015
0.086,0.155
0.094,0.435
0.102,0.655
0.109,0.865
0.117,0.125
0.125,-0.925
0.133,-0.935
0.141,-0.615
0.148,-0.235
0.156,0.005
0.164,0.035
0.172,0.035
0.180,0.015
0.188,0.005
0.195,0.045
0.203,0.045
0.211,0.045
0.219,0.105
0.227,0.105
0.234,0.095
0.242,0.125
0.250,0.115
0.258,0.105
0.266,0.165
0.273,0.155
0.281,0.235
0.289,0.185
0.297,0.205
0.305,0.315
0.312,0.295
0.320,0.305
0.328,0.325
0.336,0.415
0.344,0.425
0.352,0.495
0.359,0.475
0.367,0.525
0.375,0.475
0.383,0.505
0.391,0.415
0.398,0.355
0.406,0.265
0.414,0.175
0.422,0.105
0.430,0.085
0.438,-0.015
0.445,-0.015
0.453,-0.045
0.461,-0.095
0.469,-0.035
0.477,-0.085
0.484,-0.085
0.492,-0.135
0.500,-0.065
0.508,-0.085
0.516,-0.105
0.523,-0.075
0.531,-0.095
0.539,-0.095
0.547,-0.065
0.555,-0.085
0.562,-0.075
0.570,-0.085
0.578,-0.075
0.586,-0.085
0.594,-0.075
0.602,-0.045
0.609,-0.065
0.617,-0.055
0.625,-0.075
0.633,-0.075
0.641,-0.105
0.648,-0.055
0.656,-0.095
0.664,-0.085
0.672,-0.095
0.680,-0.055
0.688,-0.095
0.695,-0.105
0.703,-0.085
0.711,-0.105
0.719,-0.065
0.727,-0.065
0.734,-0.025
0.742,-0.075
0.750,-0.125
0.758,-0.065
0.766,-0.095
0.773,-0.105
0.781,-0.045
0.789,-0.045
0.797,0.015
0.805,0.015
0.812,0.075
0.820,0.055
0.828,0.035
0.836,-0.045
0.844,-0.045
0.852,-0.015
0.859,-0.075
0.867,-0.135
0.875,-0.145
0.883,-0.105
0.891,-0.165
0.898,-0.145
0.906,-0.085
0.914,-0.085
0.922,0.005
0.930,0.295
0.938,0.585
0.945,0.885
0.953,0.055
0.961,-0.955
0.969,-1.055
0.977,-0.725
0.984,-0.455
0.992,-0.175
1.000,-0.065
1.008,-0.125
1.016,-0.045
1.023,-0.065
1.031,-0.035
1.039,-0.035
1.047,-0.035
1.055,-0.055
1.062,0.015
1.070,-0.025
1.078,-0.015
1.086,0.115
1.094,0.005
1.102,0.025
