'Elapsed time','ECG1'
'seconds','mV'
0.000,-0.075
0.008,-0.165
0.016,-0.225
0.023,-0.175
0.031,-0.225
0.039,-0.225
0.047,-0.215
0.055,-0.185
0.062,-0.235
0.070,-0.215
0.078,-0.215
0.086,-0.195
0.094,-0.275
0.102,-0.585
0.109,-0.515
0.117,0.475
0.125,1.645
0.133,1.035
0.141,-0.355
0.148,-0.785
0.156,-0.425
0.164,-0.135
0.172,-0.125
0.180,-0.125
0.188,-0.115
0.195,-0.105
0.203,-0.115
0.211,-0.095
0.219,-0.085
0.227,-0.055
0.234,-0.025
0.242,-0.015
0.250,-0.005
0.258,0.005
0.266,0.035
0.273,0.115
0.281,0.135
0.289,0.145
0.297,0.215
0.305,0.275
0.312,0.365
0.320,0.385
0.328,0.415
0.336,0.415
0.344,0.415
0.352,0.445
0.359,0.385
0.367,0.275
0.375,0.145
0.383,0.095
0.391,-0.005
0.398,-0.055
0.406,-0.105
0.414,-0.105
0.422,-0.125
0.430,-0.165
0.438,-0.145
0.445,-0.155
0.453,-0.125
0.461,-0.125
0.469,-0.155
0.477,-0.165
0.484,-0.155
0.492,-0.135
0.500,-0.135
0.508,-0.115
0.516,-0.125
0.523,-0.125
0.531,-0.115
0.539,-0.125
0.547,-0.105
0.555,-0.015
0.562,-0.045
0.570,-0.035
0.578,-0.015
0.586,0.025
0.594,0.055
0.602,0.025
0.609,0.005
0.617,0.025
0.625,-0.015
0.633,-0.105
0.641,-0.155
0.648,-0.135
0.656,-0.185
0.664,-0.155
0.672,-0.165
0.680,-0.195
0.688,-0.185
0.695,-0.165
0.703,-0.165
0.711,-0.135
0.719,-0.165
0.727,-0.445
0.734,-0.575
0.742,0.025
0.750,1.355
0.758,1.485
0.766,0.065
0.773,-0.645
0.781,-0.625
0.789,-0.115
0.797,-0.015
0.805,-0.055
0.812,-0.075
0.820,-0.085
0.828,-0.055
0.836,-0.045
0.844,-0.025
0.852,-0.015
0.859,-0.005
0.867,0.015
0.875,0.025
0.883,0.045
0.891,0.075
0.898,0.125
0.906,0.155
0.914,0.175
0.922,0.255
0.930,0.295
0.938,0.405
0.945,0.415
0.953,0.405
0.961,0.475
0.969,0.455
0.977,0.425
0.984,0.415
0.992,0.315
1.000,0.205
1.008,0.105
1.016,-0.005
1.023,-0.035
1.031,-0.055
1.039,-0.095
1.047,-0.135
1.055,-0.125
1.062,-0.135
1.070,-0.175
1.078,-0.135
1.086,-0.135
1.094,-0.155
1.102,-0.145
1.109,-0.115
1.117,-0.145
1.125,-0.165
1.133,-0.155
1.141,-0.125
1.148,-0.135
1.156,-0.155
1.164,-0.125
1.172,-0.175
1.180,-0.115
1.188,-0.065
1.195,-0.035
1.203,-0.075
1.211,-0.025
1.219,-0.005
1.227,0.005
1.234,-0.045
1.242,-0.005
1.250,-0.025
1.258,-0.155
1.266,-0.215
1.273,-0.205
1.281,-0.215
1.289,-0.205
1.297,-0.195
1.305,-0.205
1.312,-0.205
1.320,-0.235
1.328,-0.215
1.336,-0.215
1.344,-0.245
1.352,-0.515
1.359,-0.565
1.367,0.215
1.375,1.345
1.383,1.075
1.391,-0.175
1.398,-0.685
1.406,-0.645
1.414,-0.285
1.422,-0.165
1.430,-0.135
1.438,-0.165
1.445,-0.155
1.453,-0.135
1.461,-0.125
1.469,-0.115
1.477,-0.115
1.484,-0.065
1.492,-0.045
1.500,-0.045
1.508,-0.025
1.516,0.015
1.523,0.045
1.531,0.065
1.539,0.135
1.547,0.195
1.555,0.255
1.562,0.285
1.570,0.325
1.578,0.355
1.586,0.395
1.594,0.385
1.602,0.355
1.609,0.305
1.617,0.245
1.625,0.165
1.633,0.065
1.641,-0.015
1.648,-0.085
1.656,-0.135
1.664,-0.175
1.672,-0.175
1.680,-0.185
1.688,-0.195
1.695,-0.195
1.703,-0.175
1.711,-0.175
1.719,-0.175
1.727,-0.175
1.734,-0.175
1.742,-0.185
1.750,-0.195
1.758,-0.125
1.766,-0.135
1.773,-0.155
1.781,-0.145
1.789,-0.125
1.797,-0.095
1.805,-0.065
1.812,-0.065
1.820,-0.065
1.828,0.005
1.836,0.025
1.844,-0.005
1.852,-0.015
1.859,0.005
1.867,-0.015
1.875,-0.165
1.883,-0.185
1.891,-0.165
1.898,-0.165
1.906,-0.185
1.914,-0.195
1.922,-0.165
1.930,-0.185
1.938,-0.185
1.945,-0.125
1.953,-0.155
1.961,-0.195
1.969,-0.495
1.977,-0.475
1.984,0.305
1.992,1.515
2.000,1.135
2.008,-0.135
2.016,-0.665
2.023,-0.555
2.031,-0.185
2.039,-0.095
2.047,-0.055
2.055,-0.055
2.062,-0.055
2.070,-0.025
2.078,-0.005
2.086,-0.015
2.094,0.025
2.102,0.025
2.109,0.045
2.117,0.105
2.125,0.105
2.133,0.145
2.141,0.165
2.148,0.185
2.156,0.215
2.164,0.285
2.172,0.325
2.180,0.375
2.188,0.435
2.195,0.515
2.203,0.505
2.211,0.475
2.219,0.495
2.227,0.455
2.234,0.385
2.242,0.285
2.250,0.175
2.258,0.115
2.266,0.065
2.273,-0.015
2.281,-0.005
2.289,-0.035
2.297,-0.065
2.305,-0.085
2.312,-0.045
2.320,-0.085
2.328,-0.065
2.336,-0.055
2.344,-0.055
2.352,-0.065
2.359,-0.045
2.367,-0.055
2.375,-0.025
2.383,-0.035
2.391,-0.005
2.398,-0.025
2.406,-0.075
2.414,-0.035
2.422,0.045
2.430,0.035
2.438,0.055
2.445,0.095
2.453,0.115
2.461,0.095
2.469,0.085
2.477,0.125
2.484,0.105
2.492,0.005
2.500,-0.095
2.508,-0.085
2.516,-0.085
2.523,-0.095
2.531,-0.115
2.539,-0.115
2.547,-0.075
2.555,-0.115
2.562,-0.095
2.570,-0.055
2.578,-0.095
2.586,-0.385
2.594,-0.505
2.602,0.025
2.609,1.285
2.617,1.705
2.625,0.485
2.633,-0.465
2.641,-0.595
2.648,-0.195
2.656,-0.045
2.664,-0.015
2.672,-0.025
2.680,-0.045
2.688,-0.025
2.695,-0.035
2.703,-0.015
2.711,-0.005
2.719,0.035
2.727,0.055
2.734,0.065
2.742,0.075
2.750,0.105
2.758,0.155
2.766,0.155
2.773,0.205
2.781,0.255
2.789,0.295
2.797,0.385
2.805,0.425
2.812,0.445
2.820,0.465
2.828,0.485
2.836,0.475
2.844,0.425
2.852,0.345
2.859,0.275
2.867,0.165
2.875,0.075
2.883,0.005
2.891,-0.055
2.898,-0.075
2.906,-0.095
2.914,-0.105
2.922,-0.095
2.930,-0.135
2.938,-0.125
2.945,-0.155
2.953,-0.125
2.961,-0.095
2.969,-0.105
2.977,-0.105
2.984,-0.095
2.992,-0.105
3.000,-0.135
3.008,-0.105
3.016,-0.105
3.023,-0.115
3.031,-0.105
3.039,-0.085
3.047,-0.025
3.055,0.005
3.062,-0.035
3.070,-0.005
3.078,0.075
3.086,0.025
3.094,0.025
3.102,0.035
3.109,-0.005
3.117,-0.075
3.125,-0.155
3.133,-0.155
3.141,-0.175
3.148,-0.175
3.156,-0.175
3.164,-0.165
3.172,-0.185
3.180,-0.165
3.188,-0.155
3.195,-0.155
3.203,-0.175
3.211,-0.435
3.219,-0.605
3.227,-0.145
3.234,1.195
3.242,1.635
3.250,0.345
3.258,-0.525
3.266,-0.675
3.273,-0.205
3.281,-0.095
3.289,-0.115
3.297,-0.075
3.305,-0.095
3.312,-0.095
3.320,-0.095
3.328,-0.085
3.336,-0.055
3.344,-0.035
3.352,-0.005
3.359,0.045
3.367,0.015
3.375,0.045
3.383,0.065
3.391,0.095
3.398,0.165
3.406,0.215
3.414,0.285
3.422,0.325
3.430,0.355
3.438,0.395
3.445,0.415
3.453,0.405
3.461,0.405
3.469,0.375
3.477,0.265
3.484,0.185
3.492,0.095
3.500,-0.005
3.508,-0.065
3.516,-0.105
3.523,-0.115
3.531,-0.175
3.539,-0.165
3.547,-0.145
3.555,-0.155
3.562,-0.175
3.570,-0.165
3.578,-0.155
3.586,-0.195
3.594,-0.175
3.602,-0.145
3.609,-0.145
3.617,-0.175
3.625,-0.155
3.633,-0.125
3.641,-0.135
3.648,-0.135
3.656,-0.145
3.664,-0.125
3.672,-0.105
3.680,-0.075
3.688,-0.085
3.695,-0.045
3.703,0.005
3.711,0.005
